"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
1.9966,1.0327,2.1881,1.1684,1.3148,1.4996,1.2701,1.2393,1.6719,1.5751,1.2053,2.4152,1.6776,1.2534,1.49,1.6489,1.7063,1.0572,1.3738,1.4208,1.5293,0.90062,1.2501,1.0136
2.1138,1.0377,2.145,1.3116,1.2874,1.6691,1.5394,1.4149,1.9359,1.8613,1.4962,2.6572,1.6494,1.3384,1.3828,1.7636,1.7459,1.1501,1.6282,1.4723,1.6852,1.152,1.2562,1.3215
2.6811,1.5118,2.2346,2.0843,1.6392,1.9503,1.4734,1.655,1.9721,2.0203,1.6609,2.4881,1.9959,1.6984,1.7092,2.0656,1.9525,1.1301,1.8777,1.6722,1.9417,1.3407,1.3443,1.3734
3.1306,1.9485,2.3428,2.5701,1.8165,2.2135,1.7023,1.7411,2.1262,2.2209,1.9009,2.4936,2.286,2.1787,1.892,2.3171,2.2901,1.2876,2.153,1.8889,2.061,1.4763,1.5629,1.7644
2.6454,1.8717,2.1411,2.2401,2.0127,2.1194,1.7188,1.7041,2.2493,2.1774,2.071,2.8246,2.4608,2.1257,2.1037,2.2892,2.2359,1.4126,2.073,2.1558,2.1152,1.4566,1.6041,1.4673
2.2472,1.8179,1.9725,2.0145,2.075,2.029,1.5944,1.6132,2.2682,2.1054,1.9554,2.5783,2.5517,1.8164,2.1866,2.1307,2.0326,1.345,2.0866,2.1698,2.0283,1.2998,1.4471,1.2416
2.016,1.8537,1.7275,1.9203,2.2265,1.769,1.3435,1.3472,2.0473,1.8155,1.5213,2.2174,2.3865,1.6073,2.2144,1.9257,1.8277,1.2655,1.9697,2.0555,1.9392,1.1122,1.4552,1.0791
1.3503,1.7342,1.0709,1.4752,2.1709,1.2085,1.2078,0.86601,1.6022,1.5446,0.85381,1.4937,2.0473,1.1728,2.0684,1.4683,1.3343,1.2425,1.3845,2.1111,1.6733,0.70728,1.3635,1.0505
0.6191,1.107,0.42735,1.2084,1.6957,0.91741,0.64413,0.60766,1.2152,1.0801,0.60489,0.95962,1.3439,0.65996,1.2446,0.93365,0.48335,1.0086,0.4586,1.8349,1.368,0.036863,1.2272,0.8375
0.30707,0.72931,0.029047,0.72992,1.6365,0.52956,0.16616,0.23256,0.6702,0.87922,0.070022,0.81747,0.86919,0.33511,0.84398,0.6091,-0.052419,0.77639,0.15546,1.4077,1.0133,-0.18398,0.79434,0.68282
-0.21115,0.3391,-0.56142,0.12965,1.4323,-0.035107,0.12383,0.0096995,0.23315,0.58074,-0.24797,0.030767,0.32219,-0.15824,0.44063,0.33742,-0.30678,0.16786,-0.10053,0.55615,0.60147,-0.19983,0.41252,0.055382
-0.60097,0.017258,-1.1928,-0.2814,0.84741,-0.40444,0.091263,-0.35814,0.036847,0.365,-0.48023,0.012709,0.28047,-0.459,-0.42946,0.197,-0.83012,0.24401,-0.022232,-0.21239,0.29003,-0.35815,0.25925,-0.166
-0.98966,-0.55173,-1.2766,-0.6225,0.1236,-0.67722,-0.26017,-0.53807,-0.28172,0.0441,-0.65078,-0.18346,-0.057857,-0.78514,-0.86328,0.0094334,-1.0946,0.041762,-0.042278,-0.61519,-0.04354,-0.54882,-0.34427,-0.34381
-1.3464,-0.79451,-1.3941,-0.71788,-0.075586,-0.87925,-0.52067,-0.63993,-0.56296,-0.43896,-0.70681,-0.53557,-0.26292,-1.0773,-0.55551,-0.1145,-1.2082,-0.21828,-0.1288,-0.45772,-0.25264,-0.62757,-0.83448,-0.47609
-1.1739,-0.89313,-1.512,-0.78592,-0.11915,-0.97389,-0.58393,-0.76276,-0.6381,-0.46123,-0.73336,-0.62752,-0.066892,-1.1248,0.16613,-0.13428,-1.4284,-0.038582,-0.34637,0.071787,-0.38184,-0.90077,-0.67835,-0.97228
