"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
6.8676,6.1272,7.0288,7.295,6.4553,6.5555,6.4497,5.2832,5.5191,5.1634,4.8158,7.7006,8.6837,6.1795,9.3693,7.5191,8.7025,7.1523,7.4492,6.6766,8.5687,6.8596,6.6358,6.7872
6.5132,5.5402,6.512,7.0282,6.2855,6.2835,6.6233,5.1689,5.2425,5.8619,5.218,7.2811,8.5296,5.6996,8.641,7.4355,8.1592,7.1283,7.3368,6.6343,8.7907,6.6793,6.5261,7.5565
7.5214,6.2623,7.0355,7.9652,7.0803,6.9971,6.4889,5.8453,5.5979,6.3941,5.4034,7.7939,9.2738,6.4648,8.942,8.2078,8.6306,7.5509,7.9428,7.3816,9.0127,6.9141,7.2648,7.3915
8.3817,7.1903,7.3107,8.7035,7.0576,7.6516,6.9659,6.3565,5.9414,6.5182,5.8654,7.4022,10.29,7.3249,9.7708,8.91,9.2458,8.175,8.118,7.7806,9.6596,7.874,7.6056,8.3454
8.5414,8.2889,7.8033,9.2223,7.7698,8.1328,8.2347,6.5231,7.3055,7.7687,6.7728,9.0541,11.378,8.1885,10.937,9.7985,10.36,9.2531,9.6457,8.81,10.96,8.4261,8.8889,8.5105
9.3557,9.3137,8.5534,10.299,8.7002,9.0645,9.336,7.1548,8.5294,8.7638,7.6654,10.046,12.713,8.9298,12.079,11.007,11.465,10.428,11.19,9.5049,11.598,9.1639,9.6149,9.3322
10.015,10.189,8.8678,11.132,8.6916,9.8108,10.048,7.6148,8.9825,9.0453,7.7882,9.6985,13.258,9.9472,11.914,12.024,12.142,10.863,11.81,8.8106,11.905,9.6019,10.297,9.8865
9.7599,10.763,8.4621,10.944,8.9979,9.6714,10.035,7.3854,8.516,8.9236,7.2332,8.5985,13.744,10.017,12.905,12.3,12.221,10.944,11.799,9.3981,11.941,9.4669,10.001,9.1716
8.0048,10.063,7.0195,9.9169,9.2646,8.7911,8.6418,6.9562,7.7146,7.3421,6.5941,7.6506,12.823,8.4972,12.662,11.079,10.643,11.139,10.303,9.9319,11.427,7.7395,10.355,8.2097
6.8561,8.9969,6.4114,9.4202,8.8407,8.0615,7.554,5.8965,6.7555,6.979,5.3702,7.2908,12.079,7.63,11.868,10.291,9.2708,11.306,9.1734,9.9099,10.884,6.7201,9.7566,7.3965
6.5649,9.0444,6.0259,8.9886,9.0423,7.5877,7.9882,5.798,6.2491,7.6825,4.9729,6.6651,11.058,7.1133,11.179,9.5289,8.733,10.312,8.8131,8.2619,10.465,6.6547,8.3941,7.476
6.013,8.2304,5.6435,8.2732,8.0686,7.6755,7.7767,5.8855,5.9575,6.1572,4.4561,5.7393,10.325,6.2426,9.694,8.9758,8.4516,9.3417,9.3352,5.9569,10.179,6.7593,7.6499,7.0985
5.5591,7.3144,5.1853,7.5953,6.9528,6.8148,7.3961,4.987,5.1147,5.2936,3.5721,4.4942,10.433,5.7875,8.8375,9.2192,7.6701,9.203,9.2365,4.7736,9.8721,6.4899,6.7528,7.2648
4.8995,6.3898,4.4459,6.8145,6.6539,5.8309,6.0951,3.9402,4.4396,4.1543,2.4475,4.2612,9.428,4.8598,8.4019,8.4691,6.7833,7.7138,8.5931,4.2545,8.6238,5.5005,5.7062,6.3634
4.5527,6.097,3.9003,6.4556,6.055,5.5292,5.4917,3.7787,4.0995,3.8958,2.9359,3.9533,9.2663,5.1802,8.4072,8.5183,5.9342,7.9878,8.0615,3.9085,8.4841,5.3456,5.894,6.4367
4.9266,6.1268,3.9052,6.5613,5.0303,5.1974,5.8104,3.4255,4.2136,3.8158,2.9643,4.6977,9.1565,5.581,8.7567,8.2728,5.8374,8.3707,7.6267,3.9409,8.5239,4.7806,5.3224,5.6902
5.2107,4.8777,4.055,6.208,3.5239,5.6939,5.3659,4.067,4.1486,3.0616,3.2145,3.7816,8.8076,5.9424,7.9156,7.8497,6.0812,7.3206,8.0429,4.1182,7.996,4.6788,5.5155,5.7083
5.1748,3.4715,4.0244,5.3331,2.3792,5.3528,4.7561,3.8756,3.3467,2.8505,2.9439,2.2262,8.126,6.046,6.9645,7.4518,6.0793,5.983,7.2177,3.3859,7.3838,5.138,5.529,5.6265
4.8431,3.0858,3.9686,4.8684,1.9907,4.5225,3.8965,3.5634,3.2754,1.9202,2.6934,2.8094,7.6258,5.6464,7.376,6.7475,6.0328,5.6074,6.8379,3.2207,6.9342,4.5742,5.0762,5.6616
4.9549,3.0211,4.2061,4.6491,1.7796,4.5789,4.2394,3.6997,3.3113,1.7752,3.0338,2.7341,7.3427,5.7924,7.5922,6.7541,6.3301,5.9094,6.8611,3.8917,7.0853,5.2032,5.6965,5.3686
5.0098,2.8799,4.0577,4.5028,1.0872,4.525,4.8763,3.2678,3.2855,3.1367,3.1498,3.5953,6.8898,5.601,7.603,6.481,6.4182,5.4926,6.2461,2.6211,6.6417,5.2538,6.2091,5.505
4.2514,1.2322,3.1668,3.964,-1.3109,3.757,3.5329,2.7985,2.6878,1.2419,2.7332,2.9282,5.7242,4.6159,5.692,6.1316,5.2439,3.6838,5.6962,0.82058,6.4349,4.9692,5.9721,5.4663
3.2912,0.90538,2.3923,3.2131,-1.9366,2.8849,2.2956,2.4804,2.16,0.27638,2.6536,2.3522,4.8388,3.6602,4.9581,5.6209,3.7635,2.6334,4.622,-0.26296,5.7789,3.7798,5.0422,4.8082
2.6525,0.67742,1.9967,2.1359,-1.4241,2.4521,1.9965,2.6636,1.9111,0.74467,2.3701,1.993,4.1397,2.8995,4.8652,4.7724,3.2756,3.2787,3.8656,0.32026,5.367,3.0058,4.6228,4.5355
2.5347,0.84682,2.18,2.3507,-0.76122,2.1261,1.7886,2.4596,1.8279,1.0586,2.2397,2.3329,3.2562,2.5275,4.3949,5.1046,3.1722,3.379,3.8892,0.84933,5.2035,3.2714,3.724,5.146
2.691,0.83184,2.5826,2.667,-1.6538,2.5037,1.7793,2.6927,2.402,1.4492,2.586,2.2502,2.3602,3.1744,2.7054,5.3068,3.8466,2.7917,4.2928,0.50638,5.3748,3.1436,4.3257,5.5167
2.9769,0.5319,2.7665,2.6321,-1.5981,2.6241,1.6042,3.1406,2.7159,0.73919,2.9968,2.4787,2.2033,3.2656,1.8958,5.0124,4.1686,2.4107,4.0925,0.7607,5.4216,3.7489,4.4909,5.8946
2.7027,-0.064435,2.2303,2.3233,-1.9153,1.9234,1.2492,2.5284,2.3553,1.417,2.9122,2.8648,2.1472,3.2028,1.4859,4.5037,4.1832,2.3836,3.7238,0.79226,4.8958,3.408,3.9879,5.4253
2.0517,-0.5047,1.6074,1.4968,-2.4536,1.3898,0.18896,2.3282,1.2982,0.39505,2.2097,1.5604,1.6793,2.6377,0.87567,3.456,3.7816,1.6091,3.0102,0.36234,3.7632,2.801,3.2756,4.6121
2.3566,-0.92036,2.4862,1.436,-3.1362,2.0877,-0.0044468,3.1689,1.6481,0.093877,2.8679,1.7977,0.90383,2.561,-0.18322,3.2497,3.8804,1.3471,3.0383,-0.30152,3.9517,3.0698,3.4351,4.4027
2.5681,-0.89383,3.4469,1.8109,-2.7189,2.4446,1.4238,3.6309,2.9097,1.3898,4.262,3.3141,1.5168,3.869,-0.30137,3.8201,5.4948,1.7896,3.8385,-0.63648,4.8327,3.8917,4.0037,5.8524
