"CH1","CH2","CH3","CH4","CH5","CH6","CH7","CH8","CH9","CH10","CH11","CH12","CH13","CH14","CH15","CH16","CH17","CH18","CH19","CH20","CH21","CH22","CH23","CH24"
0.76378,2.7539,-0.37036,0.88096,3.268,0.04653,0.92739,-0.81976,-0.40115,-0.0021019,-1.2374,-1.4468,3.1335,0.52275,6.2971,0.69083,-0.6372,2.5671,-0.73406,3.5384,-0.60518,-1.039,-0.40023,-1.1653
0.54777,2.862,-0.40479,0.64152,3.5077,-0.33515,0.68965,-0.94553,-0.60818,-0.31163,-1.2858,-1.4272,3.4252,0.2976,6.4934,0.58556,-0.78603,2.3085,-0.86196,3.8334,-0.77035,-1.0676,-0.62286,-1.1034
0.52363,3.05,-0.34943,0.69224,3.6877,-0.22909,0.73033,-0.92364,-0.46931,-0.26341,-1.0823,-1.213,3.6206,0.24186,6.7908,0.55383,-0.72705,2.7105,-0.74082,3.9059,-0.65221,-1.0231,-0.45583,-1.084
0.84908,3.1319,0.052834,0.89059,3.938,0.18872,0.78571,-0.56742,-0.10295,-0.21072,-0.67369,-1.4279,3.8633,0.5876,7.1752,0.77497,-0.3051,2.9407,-0.33052,4.1193,-0.27194,-0.68393,-0.079354,-0.58811
1.0189,3.1369,0.28842,0.97795,4.041,0.41097,0.74552,-0.27921,0.11342,-0.038326,-0.52647,-1.0909,3.8922,0.69268,7.222,0.87352,0.0085088,3.0718,-0.085722,4.2751,-0.082411,-0.40285,0.2293,-0.50081
0.85424,2.9871,0.20237,0.87181,3.8892,0.3679,0.69522,-0.23932,0.17347,0.064022,-0.26652,-0.54375,3.6093,0.47285,6.8911,0.76328,-0.00016569,2.8255,-0.12604,4.101,-0.00939,-0.45142,0.23812,-0.71127
0.72967,2.8868,0.09668,0.71983,3.5621,0.27406,0.66878,-0.40011,0.1811,0.1112,-0.38018,-0.23383,3.4279,0.269,6.6257,0.64249,-0.045724,2.9137,-0.039717,4.2236,0.017239,-0.43401,0.26667,-0.62022
0.78985,2.7436,0.24993,0.72703,3.3748,0.27348,0.6534,-0.32903,0.23693,0.23745,-0.29307,0.086558,3.2951,0.32327,6.3642,0.69154,0.13856,2.8497,0.064867,4.3491,0.21063,-0.20498,0.43606,-0.42707
0.77519,2.8192,0.30943,0.78452,3.4505,0.19763,0.73656,-0.33493,0.08247,0.20678,-0.16276,-0.55081,3.0452,0.2951,5.9446,0.67725,0.35069,2.7216,0.14687,4.1183,0.336,-0.070004,0.70311,-0.40984
0.73722,2.5869,0.30608,0.73192,3.2903,0.098504,0.55013,-0.36797,-0.13054,0.16878,-0.099986,-0.69479,2.564,0.26184,5.2289,0.54117,0.50034,2.7616,0.16784,3.8124,0.29993,-0.0036685,0.59924,-0.44181
0.74953,2.3946,0.39322,0.79549,3.1343,0.065304,0.42375,-0.33043,-0.21231,-0.018784,-0.17752,-0.5567,2.0321,0.34045,4.6631,0.44448,0.7134,2.2502,0.15325,3.4518,0.26487,-0.0039165,0.5088,-0.36012
0.93621,2.1003,0.51475,0.94283,2.7779,0.18185,0.56595,-0.40255,-0.0030422,-0.06133,-0.38118,-0.77024,2.0438,0.46448,4.0411,0.35151,0.83215,2.4096,0.058613,3.4042,0.22251,-0.16625,0.60041,-0.36112
1.141,1.8866,0.67805,1.1122,2.4567,0.33011,0.70941,-0.32699,0.22564,-0.029116,-0.12057,-0.04771,2.1516,0.58075,3.7043,0.44131,0.90004,2.6345,0.041406,3.6857,0.22204,-0.17067,0.71199,-0.22228
1.281,1.749,0.79556,1.1105,2.6067,0.42935,0.5882,0.088097,0.20941,-0.0081591,-0.012166,-0.54145,2.0278,0.77899,3.9075,0.56545,1.0217,2.3472,0.22093,3.497,0.28827,0.242,0.70307,-0.085847
1.4851,1.6268,1.1486,1.0873,2.8266,0.64153,0.65684,0.34683,0.32005,0.15592,0.3817,-0.30774,1.9368,1.0843,3.8977,0.77087,1.3291,2.5568,0.47304,3.1912,0.52948,0.38291,0.92445,0.12921
1.4668,1.5601,1.3189,1.1022,2.965,0.65595,0.67258,0.39549,0.34588,0.29788,0.51604,0.4052,1.7275,1.1041,3.7798,0.84841,1.5793,2.6613,0.60027,2.8683,0.74899,0.79003,0.92174,0.49368
1.3644,1.306,1.2442,1.3926,2.8793,0.52049,1.1531,0.11609,0.30904,0.55737,0.46084,0.51717,1.619,0.9028,3.5373,1.0262,1.6319,2.7258,0.55812,2.8806,1.187,0.99859,1.3455,0.94052
1.358,1.4111,1.285,1.6513,3.0023,0.58306,1.3457,0.10274,0.56289,0.75804,0.59527,0.8557,1.6808,0.91213,3.5692,1.2213,1.5586,2.6782,0.54702,3.2683,1.3829,1.0785,1.8206,1.0484
1.6882,1.7631,1.361,1.9845,3.1125,0.95288,1.5526,0.34449,0.99706,1.0613,0.69663,0.93967,1.776,1.1638,3.7467,1.3633,1.5613,2.846,0.89489,3.2956,1.5633,1.2608,1.741,1.0554
1.8578,2.1046,1.7163,2.1987,3.1481,1.3058,1.8716,0.73152,1.468,1.0704,1.0633,1.2319,2.2032,1.5304,4.0256,1.7253,1.924,3.2074,1.2786,3.4423,1.8581,1.4892,2.0316,1.1822
2.3539,2.0836,1.9811,2.7389,2.8841,1.7381,2.2146,1.0693,1.8006,1.6591,1.2165,1.9827,2.5671,1.9779,4.3118,2.203,2.284,3.3052,1.6355,3.5987,1.9091,1.6221,1.9169,1.6213
2.6971,2.4703,2.0616,2.976,2.9583,2.0231,2.4021,1.3617,2.0755,1.7564,1.4874,1.7787,2.8407,2.3735,4.4411,2.5096,2.6534,3.5302,2.0704,3.7455,1.9533,1.8866,1.8722,1.7926
2.6455,2.7173,2.0185,2.9707,3.128,2.0734,2.3719,1.3673,2.0139,1.7194,1.6125,2.0759,2.9903,2.4308,4.578,2.6892,2.6991,3.4857,2.1658,3.8462,2.0554,1.8248,2.055,1.6943
2.1568,2.6803,1.7387,2.7664,3.3622,1.8883,2.2031,1.2385,1.9214,1.5491,1.5647,2.2854,2.9225,2.1337,4.4321,2.5608,2.5374,3.9259,2.0396,4.1372,2.1389,1.3426,2.3666,1.3643
1.5561,2.6427,1.331,2.453,3.2006,1.5321,1.9202,0.87036,1.3994,1.4959,1.0267,1.3016,2.7235,1.7974,4.2323,2.2321,2.1576,3.9568,1.6844,4.2703,1.998,1.0182,2.7383,0.82233
1.1387,2.2168,0.95484,2.087,2.8476,1.2491,1.6663,0.49079,1.1204,1.5221,0.60458,1.5681,2.4807,1.388,4.0188,1.9552,1.4025,3.0623,1.3333,3.5027,1.6374,0.45432,1.9989,0.60509
0.73031,1.9403,0.64856,1.7321,2.7679,0.99293,1.4518,0.23239,0.89626,1.248,0.29754,1.7118,2.298,0.94624,3.4818,1.6791,0.7642,2.5729,1.2278,2.2082,1.2007,0.31381,0.65148,0.37796
0.44101,1.738,0.39629,1.3549,2.6864,0.65479,1.3604,0.070402,0.47333,1.092,-0.073745,0.52329,1.9461,0.58687,3.3971,1.5848,0.43953,2.1953,1.0086,1.7592,0.86611,-0.033202,0.26664,0.12792
0.32698,1.613,0.27147,1.152,2.6067,0.60798,1.2043,0.026924,0.42146,0.80385,-0.14837,0.10803,1.7425,0.43436,3.4906,1.3964,0.34617,1.919,0.83117,1.9216,0.62623,-0.21054,0.19354,0.012534
0.40141,1.5804,0.39384,1.0788,2.3964,0.74356,1.0961,0.14531,0.441,0.60516,-0.1282,0.21701,1.6355,0.40145,3.2947,1.2779,0.18436,2.128,0.68094,1.5185,0.58307,-0.18673,0.10328,-0.0036797
0.42635,1.4858,0.46615,0.96371,2.031,0.72627,1.1481,0.26654,0.57352,0.49302,0.003305,0.42282,1.4117,0.32996,3.0419,1.0696,0.11802,2.2703,0.61758,1.4202,0.60323,-0.12023,0.15317,0.073118
0.64406,0.9294,0.41456,0.97269,1.0141,0.92283,1.2689,0.24439,0.56194,0.70246,-0.064627,-0.092128,1.2569,0.86563,1.0915,1.3835,-0.063139,1.3523,1.0823,0.24482,1.063,-0.34567,0.59512,0.24284
0.59679,0.38003,0.42342,0.80164,0.84852,0.73137,0.87882,0.11298,0.30725,0.38149,-0.089022,0.066128,0.7387,0.474,1.2582,0.94847,-0.078877,1.0178,0.75331,0.43935,0.88428,-0.18906,0.46347,0.12715
0.53432,0.25293,0.40978,0.60146,0.92574,0.46905,0.67279,-0.014429,0.061353,0.16172,-0.24748,-0.31434,0.40102,0.044718,1.8252,0.50446,-0.14251,1.1001,0.30501,0.95518,0.58868,-0.23137,0.39919,0.0353
0.48037,0.32346,0.2902,0.47512,0.67343,0.32488,0.66491,-0.17297,-0.086534,0.18742,-0.35923,-0.19954,0.45367,-0.012091,1.7418,0.386,-0.3216,0.8725,0.032271,0.84753,0.21044,-0.61343,0.52504,-0.24161
0.48916,0.41203,0.15755,0.48818,0.43878,0.22205,0.61503,-0.23705,-0.062731,-0.11102,-0.34585,-0.089675,0.39103,-0.095341,1.1302,0.36884,-0.55209,0.18908,0.055321,0.25346,0.18835,-0.48928,0.35021,-0.065134
0.59739,0.44749,0.16729,0.56625,0.21158,0.30869,0.53219,-0.051231,0.030125,-0.37663,-0.21095,-0.10164,0.36044,0.094431,0.6214,0.57469,-0.50293,-0.16875,0.19367,-0.88496,0.49955,-0.0081319,0.25497,0.3944
0.57822,0.38501,0.22561,0.53875,0.1308,0.36207,0.57616,0.022972,0.1512,-0.032373,0.18956,0.20605,0.35036,0.15124,0.63366,0.6424,-0.25077,-0.039002,0.39607,-1.197,0.69595,-0.044928,0.31442,0.39973
0.52135,0.40739,0.20103,0.60397,-0.01832,0.43972,0.58641,0.03852,0.30757,-0.074811,0.20592,0.1966,0.28052,0.19026,0.25719,0.83872,-0.24332,0.20242,0.50717,-1.4346,0.79186,-0.055703,0.46833,0.66353
0.57572,0.42298,0.15915,0.75844,-0.32031,0.53135,0.73452,0.0011528,0.4536,0.054974,0.1068,0.022998,-0.13193,0.36061,-0.43324,1.1401,-0.12795,-0.20432,0.66564,-1.7099,0.89481,0.1356,0.61627,0.83458
0.69869,0.41541,0.18992,0.75509,-0.28572,0.50865,0.78464,-0.073764,0.48858,-0.21733,0.11818,0.12244,0.024182,0.50844,-0.33517,0.91225,0.072741,-0.39294,0.59057,-1.1958,0.71065,0.011025,0.75554,0.74914
